品名,單位,重量,熱量
牛肉蘆筍梅手捲,,299克,559.1
日式鰹魚角煮,,245克,177.9
毛芋,,100克,54
木豆,,100克,340
木豆[扭豆，豆蓉],,100克,340
毛豆[青豆，菜用大豆],,100克,123
月見山藥烏龍麵,,252克,718.3
毛豆蝦仁,,82.5克,89.6
毛豆劍筍,,337.5克,81.3
牛角麵包,,40克,172
牛油,,5克,44.6
牛肺,,100克,95
牛乳,,100克,69
牛乳,,100克,68
牛乳,,100克,61
牛乳,,100克,60
牛乳,,100克,54
牛乳,,100克,60
牛乳,,100克,61
牛乳,,100克,59
牛乳,,100克,51
牛乳,,100克,43
牛乳,,100克,60
牛乳,,100克,33
牛油,,100克,898
牛乳,,100克,67
牛乳,,100克,67
牛乳,,100克,67
牛乳,,100克,66
牛枝子,,100克,105
五味子,,100克,70
牛枝子籽,,100克,345
水果生菜沙拉,,245克,72.4
牛肩肉,,100克,342
五花肉炒芹菜,,507克,703
水果沙拉,,275克,195.2
夫妻肺片,,139克,473.9
五味花枝,,114克,152.8
水果味軟糖,,100克,369
水果茶,1缶,,36
牛乳粉,,100克,484
少油健康版本的乾扁豆角,,102克,29.7
水果軟糖,1個,,121.2
水芹菜,,100克,11
水疙瘩,,100克,39
五花豬肉,,100克,524
五味魷魚,,110克,93.5
牛軋糖,1個,,137.7
水果優格沙拉,,382.5克,388.2
水果優格蒟蒻涼麵,,315.2克,132.4
五味醬,,24克,69.8
五香土豆,,24克,58.3
五香大頭菜,,100克,48
五香豆干,1塊,,66.8
五香豆豉,,100克,259
毛柄金線菌,,100克,212
五香炸豬排,,92.8克,153.1
五香茶葉蛋,,40克,30.8
五星啤酒,,100克,32
月亮菜,,100克,37
元紅黃酒,,100克,36
牛後腿股肉,1塊,,53.6
五香滷馬鈴薯,,241.8克,105.4
五香滷蛋,1粒,,102.3
五香醋,,100克,14
五香調味醬520,,10克,38
月亮蝦餅,,69.2克,96.1
元貞糖,,100克,200
元宵50克,,15.2克,72.2
太倉肉鬆,,100克,316
毛核桃,,100克,174
天恩素食-鮮蔬素排餐,,375克,581.6
中脂軟酪,,100克,179
牛骨湯,,300克,108
毛蛋,,100克,176
元麥,,100克,307
水蛇,,100克,90
巴梨,,100克,46
木梨,,100克,28
夫魚,,100克,90
天麻九孔粥,,100克,226.9
木梨子,,100克,55
五彩牛柳,,54克,41.7
天麻牛腩,,121.8克,145
牛排丼,,165.2克,210.1
及第韭菜熟水餃,,160克,317
水梨蛋白果汁,,351.1克,179.1
及第魚餃,1盤,,74.7
水梨紫高麗菜汁,,240克,177.6
牛眼睛菌,,100克,32
牛眼睛菌[馬勃菌],,100克,32
孔雀餅乾,,135克,630
中國對蝦,,100克,84
及第豬肉熟水餃,,160克,313
及第蝦餃,1份,,79.8
公麻鴨,,100克,360
及第燕餃,1份,,89.7
牛排醬,1個,,25.8
天婦羅,1塊,,60.9
天婦羅酥餅丼,,560克,1052.8
中國鱟,,100克,63
中國鱟[水鱉子],,100克,63
牛腎,,100克,94
毛筍,,100克,21
天然C鐵汁,,445克,280.4
毛筍[毛竹筍],,100克,21
文蛤丸,,100克,209
水發木耳,,100克,21
水煮牛肉,,166.7克,62.2
水晶包,1個,,125.4
水晶肉皮凍,,214克,745
木須肉絲湯,,133克,104.1
中華沙棘酒,,100克,57
水晶果凍,,55克,214.5
中華油醋,,45克,65
水煮南瓜,,55克,43
牛黃草,,100克,89
文蛤湯,,30克,22
毛蛤蜊,,100克,97
水晶餅,,100克,436
太陽餅,,30.9克,177.4
水晶餃,,76克,128.4
水晶蝦仁,,607.5克,928
水晶糖,,100克,395
中華獼猴桃,,100克,56
中華獼猴桃[毛葉獼猴桃],,100克,56
木菠蘿,,100克,103
牛腦,,100克,149
文蜆,1盤,,67
牛腱子,,100克,122
牛腱子,,100克,205
牛腱子肉,,100克,122
水煎包,3個,,455
心裡美蘿蔔,,100克,21
牛腩燴飯,,287.5克,562.9
毛葉獼猴桃,,100克,56
木榧,,100克,539
方腿,,100克,117
月餅,1個,,416
木榧[園榧],,100克,539
月餅,,100克,416
月餅,,100克,438
月餅,,100克,441
月餅,,100克,361
月餅,,100克,438
月餅,,100克,429
月餅,,100克,325
月餅,,100克,449
月餅,,100克,407
月餅,,100克,331
月餅,,100克,399
月餅,,100克,424
火腿三明治,,100克,339
火腿心肉,,100克,528
火腿心全精肉,,100克,322
牛蒡汁,,750克,525
火腿玉米肉丁,,89克,192.3
方腿肉,,100克,273
火腿吐司,,75克,200
火腿肉絲蛋炒飯,,275克,643.5
火腿披薩,,111.7克,268.5
牛蒡茶,1缶,,20
火腿起司壽司卷,,128克,339.2
水蜜桃果汁,1份,,60.8
火腿起酥,,80克,195.2
水蜜桃罐頭,1份,,58.5
火腿蛋吐司,,164克,362.9
火腿蛋炒飯,,475克,643.2
火腿蛋捲,,78克,111.2
天精菜,,100克,29
牛蒡棒,1個,,28.8
火腿腸,,100克,212
牛蒡葉,,100克,37
火腿雞,,100克,100
牛蒡雞吐司,,80克,123.4
分蔥,,100克,33
分蔥[四季蔥，菜蔥],,100克,33
手撕包菜,,260克,127
水蝦米,,100克,81
五蔬果燻雞三明治,,116克,254
五穀香,,100克,377
五穀營養粉,,100克,418
五穀雜糧養生粽,,103.4克,350.5
牙蕉,,100克,109
方糖,1份,,38.5
什錦三絲,,172.5克,227.5
午餐肉,,100克,229
午餐肚,,100克,181
火龍果[仙蜜果、紅龍果],,100克,51
什錦花枝,,190克,138.7
什錦炒拉麵,,282.5克,526.9
什錦炒油麵,,480克,591.8
什錦炒素,,345克,405
什錦炒飯,,100克,188
火龍果蜂王乳,,340克,265.2
火龍果優酪乳,,319.9克,284.7
什錦炒麵,,257.5克,386.8
水澱粉,,100克,342
毛頭鬼傘,,100克,257
什錦海鮮,,370克,632
午餐魚,,100克,383
牛蹄筋,,100克,151
什錦菜,,100克,35
什錦粥,,287.5克,444
牛蹄筋,,100克,25
牛蹄筋,,100克,147
什錦湯麵,,235.2克,356.1
午餐腸,,100克,261
什錦糖果,,100克,399
什錦燴魚片豆腐,,185克,177.3
火燎雞心,,62.8克,182.1
木薯,,100克,116
火鍋小香腸,1個,,74.1
手鞠壽司,,362克,619
火雞肉飯,,155克,451.8
火雞肝,,100克,143
火雞肫,,100克,91
火雞胸脯肉,,100克,103
五糧液,,100克,311
火雞腿,,100克,91
比薩餅,,100克,225
比薩餅,,100克,235
元蘑,,100克,146
元寶紅燒肉,,557克,2099
水麵筋,,100克,141
水鱉子,,100克,63
水蘿蔔,,100克,20
水蘿蔔[脆蘿蔔],,100克,20
五釀春,,100克,260
布丁：烤,1個,,124
布丁牛乳,1杯,,144
他人丼,,549克,708.2
布丁奶茶,,169克,321.1
布丁粉,1個,,80.4
布丁餡甜麵包60克,,70.4克,269.6
布丁鴛鴦奶茶,,406克,373.5
他人醬汁,,44克,61.2
包子,,100克,223
包子,,100克,227
可口可樂,,100克,43
白土司麵包,1片,,74.8
四川泡菜魚,,44克,76.2
可口美酥,,150克,700
四川紅橘,,100克,40
可口脆笛酥,,80克,300
可口海鮮炒飯,,230克,367.4
仙女魚,,1兩,36.4
瓜子菜,,100克,27
瓜子鯧,,1兩,54.6
奶片,,100克,472
生牛小排,,105克,360
白心甘薯,,100克,104
白切肉,,15克,36
白水羊頭,,100克,193
白木耳罐,1碟,,24.5
半月形牛角麵包40克,,37克,187.8
白牛肝菌,,100克,32
白牛肝菌[美味牛肝菌],,100克,32
白牛肝菌,,100克,253
北五味子葉,,100克,70
北五味子葉,,100克,70
古井貢酒,,100克,222
北方家常菜炒雞腿,,54.4克,107.1
半天筍,1碟,,31
白片酥,,94.5克,429.2
白仁蝦米,,58.3克,27.6
白切豬肝連,,30克,76
生日豬腳麵線,,295克,1044
奶皮子,,100克,460
冬瓜干貝湯,,350克,29.4
白玉米,1份,,99
冬瓜汆丸子,,360克,321
白汁羊肉,,87.5克,181.2
卡布奇諾,,240克,103
北平烤鴨,,38.4克,68.4
白皮蛇瓜,1個,,19
冬瓜排骨湯,,1172克,925
冬瓜湯,,50克,6.5
奶白菜,,100克,17
冬瓜蛤蜊湯,,280克,27.2
冬瓜糖水,,300克,1110
冬瓜糖磚,1個,,185
瓜仔雞,,100克,152.6
白玉蘿蔔,,56克,14
白米子魚,,100克,150
玉米仁,1盤,,259
台式月餅,,54.6克,160.1
玉米火腿蓋飯,,425克,439
石安玉子,,38克,52
古色古香蚵仔麵線,1碗,,610
玉米肉丁,,93.2克,82.1
台式肉粽60克,,123.8克,521.2
玉米花,,100克,406
白地果,,100克,94
玉米油,,14克,123.8
玉米炒肉末,,90克,139.5
玉米炒青椒,,87.5克,87
玉米炒蛋,,110克,75.2
古早味蚵仔麵線,,112.5克,298
玉米炒荸齊,,127.5克,168
古早味蒸白北魚,,91.8克,221.7
古早味鹹粥,,420克,306.6
台式炸排骨,,168.8克,279
玉米紅燒牛肉味速食麵,,100克,330
玉米蛋餅,,158克,347.6
玉米蛋饅頭,,150克,227.6
玉米筍沙拉,,90克,85.5
玉米筍炒木耳,,122.5克,104.9
玉米筍炒杏鮑菇,,155克,99.7
玉米稀飯蒸蛋,,170克,302.6
玉米筍燉排骨,,175.6克,68.1
加州葡萄,1盤,,62
玉米蒸肉末,,80克,77.6
玉米蒸肉餅,,160.5克,213.9
加州蜜梅,1粒,,85.8
玉米窩窩頭,,100克,227
白米蝦,,100克,81
白米蝦[水蝦米],,100克,81
玉米豬肝粥,,313克,453.8
四色蔬雞丁,,202.5克,147.2
古早糖水,,300克,1155
玉米糝,,100克,297
玉米雞丁燴麵,,269克,329.7
玉米麵,,100克,340
玉米麵,,100克,339
玉米麵,,100克,339
玉米麵麵條,,100克,348
玉豆,,100克,17
巧克力牛奶糖,1個,,102.5
巧克力水饅頭,,40.1克,140.3
巧克力奶油蛋糕,1個,,2880
巧克力吐司,,78克,277.7
巧克力豆奶,,100克,39
巧克力派,,100克,425
巧克力起酥,,80克,255.2
巧克力麥芽營養飲品,,100克,390
巧克力蛋糕,1個,,170
巧克力飲料,,28克,100
白灼西蘭花,,355克,84
白灼芥末鮮蚵,,45克,37.3
白沙蒿,,100克,52
白沙蒿[沙蒿],,100克,52
奶豆腐,,100克,343
奶豆腐,,100克,305
白灼腐乳生菜,,107克,29
白沙蒿籽,,100克,412
白沙蒿籽[沙蒿籽],,100克,412
正牡蠣,1個,,54
巧果,,237.6克,779.4
奶昔,1份,,300
白芷,,100克,324
生油,,100克,899
奶油三明治,,120克,470
奶油五香豆,,100克,220
白金瓜,,100克,24
奶油吐司,,70克,247.1
奶油冰淇淋,,52克,92.1
四季豆[菜豆],,100克,28
四季豆[菜豆、芸豆],,100克,15
四季豆炒肉絲,,115克,121.7
四季豆炒花枝,,117克,87.5
四季豆炒豬肉,,70克,118
四季豆炒雞丁,,65克,83
四季豆莢,1碟,,28
四季豆蝦仁,,167.5克,124.8
奶油卷,,150克,731
奶油空心餅,,38.8克,158.8
生炒花枝羹,,470克,333.7
生拌油麥菜,,321克,80
奶油洋菇鱸魚排附香芹馬鈴薯,,71克,62.5
可果美蕃茄汁,,350毫升,64
奶油起司鮮蝦土司,,100克,278.9
北京特製啤酒,,100克,35
北京烤鴨,,100克,436
白姑魚,,100克,150
奶油捲,,150克,731
冬果梨,,100克,37
白姑魚[白米子,,100克,150
冬果梨,,100克,47
奶油焗明蝦,,330克,293.7
北京啤酒,,100克,32
奶油培根焗義大利麵,,355克,634.4
白芝麻糖,1個,,155.1
奶油蛋糕,,100克,378
奶油飯,,310克,347.2
石花菜,,100克,314
白果悶三冬,,110克,167.2
奶油酥餅,,71.5克,331.8
北京填鴨,,100克,425
四味粽子糖,,100克,397
奶油蒜泥蒸鮮蝦,,113.3克,180.1
奶油餅乾,,100克,429
四季蔥,,100克,37
奶疙瘩,,100克,426
奶疙瘩[乳酪乾，乾優酪乳],,100克,426
白果蝦仁,,77.5克,83.5
四季鮮果盒,,162克,67.2
打拋雞肉飯,,222.5克,231.4
奶柿子,,100克,13
奶柿子[番茄],,100克,13
卡迪那,,60克,338
奶香酥條,,40克,107.2
生津潤肺楊桃汁,,469.9克,192.7
生粉,,100克,358
布朗,,100克,41
仙草奶茶,,179克,290
甘納豆,1個,,94.2
甘草杏,,100克,155
甘草芭樂,,185克,170.7
加值活性飲料,1缶,,76.8
白粉桃,,100克,25
可哥粉,,100克,320
白海參,1個,,14
四神湯,,381克,632.5
巨峰葡萄,,100克,50
仙草蜜,1缶,,115.5
甲級龍井,,100克,309
白參,,100克,82
生魚,,100克,85
目魚,,100克,107
白脫,,100克,744
平魚,,100克,140
甲魚[鱉],,100克,118
白脫,,100克,744
白魚手卷,,100克,187
白魚完,,100克,96
皮蛋豆腐,,130克,122.5
